company_name,categories
QFEX,"Financial Services, Lending and Investments"
Eytrix,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Hardware, Science and Engineering, Software"
Minerva Intelligence,Financial Services
Terracotta AI,"Artificial Intelligence (AI), Hardware, Information Technology, Internet Services, Software"
TripleZip,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Real Estate, Science and Engineering, Software"
Nia,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Collate,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Cedar,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
HUD,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Wildcard,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software"
Oki,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Roark,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Calltree AI,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software"
a0.dev,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Rebolt,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Contrario,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Miyagi Labs,"Education, Media and Entertainment, Software, Video"
Praxim,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Karsa,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software"
Nextbyte,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software"
Ovlo,"Commerce and Shopping, Software"
TensorPool,"Information Technology, Internet Services, Software"
Sherpa Labs,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
A1Base,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Sennu AI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software"
Dex_1,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Lucidic AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Rally,"Financial Services, Transportation"
Harbera,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Amby Health,"Health Care, Software"
Maive,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software"
Quantstruct,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software"
Trata,"Data and Analytics, Financial Services"
Macadamia,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Real Estate, Science and Engineering, Software"
Sift Dev,"Artificial Intelligence (AI), Software"
TamLabs,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
Verbiflow,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
TrainLoop,"Information Technology, Internet Services"
Misprint,Commerce and Shopping
Morph,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Travel and Tourism"
Vocality Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Exla,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software"
Browser Use,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Pave Robotics,"Hardware, Science and Engineering, Software"
CozmoX AI (YC W22),"Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Real Estate, Science and Engineering, Software"
CopyCat,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Agentin AI,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
HYBRD,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software, Sports"
Pickle_1,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
SRE.ai,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Ryvn,"Information Technology, Internet Services, Software"
Spott,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software"
