company_name,categories,main_category
QFEX,"Financial Services, Lending and Investments",Financial
Eytrix,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Hardware, Science and Engineering, Software",B2B Software and Services
Minerva Intelligence,Financial Services,Financial
Terracotta AI,"Artificial Intelligence (AI), Hardware, Information Technology, Internet Services, Software",B2B Software and Services
TripleZip,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Real Estate, Science and Engineering, Software",Real Estate and Construction
Nia,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Collate,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",B2B Software and Services
Cedar,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",B2B Software and Services
HUD,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",B2B Software and Services
Wildcard,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",B2B Software and Services
Oki,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",B2B Software and Services
Roark,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Calltree AI,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",B2B Software and Services
a0.dev,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Rebolt,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Contrario,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",B2B Software and Services
Miyagi Labs,"Education, Media and Entertainment, Software, Video",Education
Praxim,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",B2B Software and Services
Karsa,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",Financial
Nextbyte,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",B2B Software and Services
Ovlo,"Commerce and Shopping, Software",Unspecified
TensorPool,"Information Technology, Internet Services, Software",B2B Software and Services
Sherpa Labs,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",B2B Software and Services
A1Base,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",B2B Software and Services
Sennu AI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",B2B Software and Services
Dex_1,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Lucidic AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Rally,"Financial Services, Transportation",Financial
Harbera,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",B2B Software and Services
Amby Health,"Health Care, Software",Health Care
Maive,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",B2B Software and Services
Quantstruct,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",B2B Software and Services
Trata,"Data and Analytics, Financial Services",Financial
Macadamia,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Real Estate, Science and Engineering, Software",Real Estate and Construction
Sift Dev,"Artificial Intelligence (AI), Software",B2B Software and Services
TamLabs,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",Financial
Verbiflow,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
TrainLoop,"Information Technology, Internet Services",B2B Software and Services
Misprint,Commerce and Shopping,Unspecified
Morph,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Travel and Tourism",B2B Software and Services
Vocality Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",B2B Software and Services
Exla,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",B2B Software and Services
Browser Use,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Pave Robotics,"Hardware, Science and Engineering, Software",B2B Software and Services
