company_name;num_female_founders;num_male_founders
0pass;0;2
10by10.io;1;0
1849 Bio;0;2
1Flow;0;1
1build;0;1
1stCollab;1;2
222;0;3
64x Bio;1;3
70 Million Jobs;0;1
91Squarefeet;0;5
A1Base;1;1
ACX;2;0
AI Insurance;0;1
AI Sell;0;1
ALPHS;1;0
AOA;2;1
AON3D;0;3
API Tracker;0;3
AXAR AI;0;1
AXDRAFT;0;2
Aalo Design;0;1
Abacum;0;2
Abacus;0;2
Abalone Bio;0;2
Abatable;1;1
Abbot;0;2
Abel;0;2
Abel Police;0;1
Able Health;1;1
Able Jobs;0;3
Abridge;1;1
Abstra;0;1
Abundant;0;3
Accend;1;2
AccessOwl;0;2
Accord;0;3
Accountable;0;2
Acorn Biolabs;0;2
Acre Designs;1;1
Actionbase;0;1
Actiondesk;0;3
Actipulse Neuroscience (YC W22);0;2
Activeloop;0;3
Activepieces;0;2
Adagy Robotics;2;0
Adam;0;3
Aden;0;1
Aditto;0;2
Adla;1;0
Admyral Technologies;0;2
Adni;1;2
Advano;0;2
AdvantageClub.ai;0;2
Adventris Pharmaceuticals;1;2
Adventurous Co;1;1
Adyn;1;0
Aedilic;0;2
AeonCharge;1;1
Aerones;1;1
Aerotime;0;2
Aesthetic;0;4
Aether;1;2
Affil.ai;0;2
Affinity Learning;0;2
Affogato AI;0;3
AfterQuery;0;3
Afternoon;0;2
Agave;1;3
AgendaPro;0;4
AgentHub;0;1
Agentic Labs;0;2
Agentin AI;0;1
Agentive;0;3
Aglide;0;2
Agnoris;0;2
AiFlow;0;2
AiPrise;0;2
AiSDR;0;2
AiSupervision;0;2
Aidy;0;3
AirMyne;0;2
AirX;0;2
Airbyte;0;2
Airfordable;1;2
Airfront;1;1
Airgoods;0;3
Airhart Aeronautics;0;2
Airmada;0;2
Airship;0;2
Airtrain AI;0;1
Airwork;0;1
Ajaib;1;1
Akido Labs;0;3
Akiflow;0;2
Aklimate;0;3
Akudo;1;2
Akute Health;0;1
Alaan;0;2
Alacrity;0;1
Alai;0;2
Alana;0;3
Albedo;0;4
Albiware;0;2
Alchemy;1;1
Aldara;0;2
AlemHealth;0;2
Aleph;0;2
Alex;0;1
Alfie Health;0;3
Alga Biosciences;2;1
Algen Biotechnologies;0;1
AlgoTest;0;1
AlgoUniversity;0;3
Algofi;0;2
Algoriz;1;0
Alguna;0;2
Alice tech;1;1
Alima;1;1
Alinea;2;1
Alixia;1;1
AllSome;2;0
Allo;1;0
Alloy Automation;1;1
Allpro Technologies;1;1
Alltruists;1;0
Allure Systems;1;1
Alma Financial;1;0
Almond;2;0
Alpas;1;1
Alpha Vantage;0;2
AlphaWatch AI;0;2
Altay Therapeutics;0;2
Alterya;0;2
Altius Analytics Labs;0;2
AltiusHub;0;2
Alude;0;3
Amal Invest;0;1
Amber AI;1;1
