company_name,equity_funding_total,num_articles,last_equity_funding_total,num_investments_funding_rounds,founded_on,ipqwery_num_trademark_registered,ipqwery_num_patent_granted,num_investors,operating_status,num_lead_investors,num_employees_enum,funding_total,num_funding_rounds,last_funding_type,last_funding_at,last_funding_total,num_founders,linkedin,facebook,twitter,founders,categories
QFEX,500000.0,,500000.0,,2025-05-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-05-04,500000.0,2.0,https://www.linkedin.com/company/Entimox/,,https://x.com/TradeQFEX,"Annanay Kapila, Joshua Wharton","Financial Services, Lending and Investments"
Eytrix,29000000.0,,26000000.0,,2025-03-25,,,6,active,1.0,c_00011_00050,29000000.0,2,series_a,2025-05-08,26000000.0,2.0,https://www.linkedin.com/company/eytrix/,,https://x.com/eytrixai,"Erdem Hacisalihoglu, Ethan Lee","Artificial Intelligence (AI), Data and Analytics, Government and Military, Hardware, Science and Engineering, Software"
Minerva Intelligence,525000.0,,525000.0,,2025-02-23,,,3,active,1.0,c_00001_00010,525000.0,1,pre_seed,2025-04-07,525000.0,1.0,,,,Om Agarwal,Financial Services
Terracotta AI,2700000.0,,2000000.0,,2025-02-01,,,2,active,1.0,c_00001_00010,2700000.0,2,seed,2025-01-01,2000000.0,2.0,https://www.linkedin.com/company/tryterracotta,,,"Carlos Feliciano, Casey Wilcox","Artificial Intelligence (AI), Hardware, Information Technology, Internet Services, Software"
TripleZip,500000.0,,500000.0,,2025-01-05,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/triplezip,,https://x.com/TripleZipAI,"Grayson Pike, Yash Sahota","Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Real Estate, Science and Engineering, Software"
Nia,850000.0,3.0,850000.0,,2025-01-01,,,8,active,1.0,c_00001_00010,850000.0,1,pre_seed,2025-05-07,850000.0,1.0,https://www.linkedin.com/company/nozomiolabs/,,,Arlan Rakhmetzhanov,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Collate,30000000.0,,30000000.0,,2025-01-01,0.0,0.0,4,active,1.0,c_00001_00010,30000000.0,1,seed,2025-01-19,30000000.0,2.0,https://www.linkedin.com/company/collate-software,,,"Nate Smith, Surbhi Sarna","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Cedar,500000.0,6.0,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/cedarlaw/,,,"Isabelle Ilyia, Jesse Li","Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
HUD,500000.0,6.0,500000.0,,2025-01-01,,,3,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,3.0,https://www.linkedin.com/company/hud-ai/,,https://x.com/hud_evals,"Jay Ram, Lorenss Martinsons, Parth Patel","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Wildcard,500000.0,1.0,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/wild-card-ai,,https://x.com/wildcard_ai,"Kaushik Mahorker, Yagnya Patel","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software"
Oki,500000.0,3.0,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/oki-ai/,,,"Aayush Tyagi, Luofei Chen","Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Roark,500000.0,3.0,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/roark-innovations,,https://x.com/roarkanalytics,"Daniel Gauci, James Zammit","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Calltree AI,500000.0,,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/calltree-ai/,,https://x.com/calltreeai,"Kun Qian, Robertson Taylor","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software"
a0.dev,500000.0,,500000.0,,2025-01-01,,,4,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/a0-dev/,,https://x.com/a0_dev,"Ayomide Omolewa, Seth Setse","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Rebolt,500000.0,,500000.0,,2025-01-01,,,1,active,1.0,c_00011_00050,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/reboltai,,https://x.com/rebolthq,"Celia Manzano, Javier Sanchez","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Contrario,500000.0,,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/contrario-ai/,,https://x.com/ContrarioAI,"Aditya Sood, Arya Marwaha","Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Miyagi Labs,500000.0,,500000.0,,2025-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/miyagi-labs/,,https://x.com/miyagi_labs,"Guang Cui, Tyrone Davis III","Education, Media and Entertainment, Software, Video"
Praxim,500000.0,,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,1.0,https://www.linkedin.com/company/praxim-yc-w25/,,,Frank Li,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Karsa,500000.0,,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/karsa/,,https://x.com/go_karsa,"Dale Wilson, Shahryar Hasnani","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software"
Nextbyte,500000.0,,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/nextbyte-ai/,,,"Jason Madeano, Matt Stallone","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software"
Ovlo,500000.0,,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/ovlo/,,,"Amer Eid, Andrew Maalouf","Commerce and Shopping, Software"
TensorPool,500000.0,,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,3.0,https://www.linkedin.com/company/tensorpool,,,"Hlumelo Notshe, Joshua Martinez, Tycho Svoboda","Information Technology, Internet Services, Software"
Sherpa Labs,500000.0,,500000.0,,2025-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/sherpalabs-ai/,,,"Jeffrey Chiu, Sherpa Labs","Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
A1Base,500000.0,,500000.0,,2025-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/a1base/,,https://x.com/a1baseapi,"Pasha Rayan, Pennie Huang","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Sennu AI,500000.0,,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/sennu-ai/,,,"Sriman Gaddam, Sukhjit Singh","Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software"
Dex_1,500000.0,,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/dexterityai/,,https://x.com/dexterity_ai,"Kevin Gu, Regina Lin","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Lucidic AI,500000.0,,500000.0,,2025-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,3.0,https://www.linkedin.com/company/lucidic-ai/,,https://x.com/LucidicAI,"Abhinav Sinha, Andy Liang, Jeremy Tian","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Rally,500000.0,,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/rally-fintech/,,,"Nick Telecki, Thiago Peres","Financial Services, Transportation"
Harbera,500000.0,,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/harbera/,,,"Sophia Clark, Veronica Nutting","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Amby Health,500000.0,,500000.0,,2025-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/ambyhealth/,,https://x.com/AmbyHealth,"Timmy Dang, Yos Wagenmans","Health Care, Software"
Maive,500000.0,,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/maive-ai/,,https://x.com/maive_ai,"David Tondreau, Will Cray","Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software"
Quantstruct,500000.0,,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/quantstruct,,https://x.com/quantstruct,"Newman Hu, Sarthak Srinivas","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software"
Trata,500000.0,,500000.0,,2025-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,3.0,https://www.linkedin.com/company/trata-inc/,,https://x.com/trytrata,"Alexander Chen, Eric Cho, William Gao","Data and Analytics, Financial Services"
Macadamia,500000.0,,500000.0,,2025-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/macadamialabs/,,https://x.com/macadamialabs,"Abel Van Steenweghen, Brecht Pierreux","Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Real Estate, Science and Engineering, Software"
