company_name,equity_funding_total,num_articles,last_equity_funding_total,num_investments_funding_rounds,founded_on,ipqwery_num_trademark_registered,ipqwery_num_patent_granted,num_investors,operating_status,num_lead_investors,num_employees_enum,funding_total,num_funding_rounds,last_funding_type,last_funding_at,last_funding_total,num_founders,num_female_founders,num_male_founders,has_linkedin,has_facebook,has_twitter,twitter_followers,category,company_age,distance_to_fifth_year
Browser Use,17500000.0,8,17000000.0,0,2024-12-12,0,0,10,active,2.0,c_00001_00010,17500000.0,2,seed,2025-03-22,17000000.0,2.0,0,2,1,0,1,0,B2B Software and Services,0,-1726
Pave Robotics,5500000.0,0,5000000.0,0,2024-12-07,0,0,3,active,1.0,c_00001_00010,5500000.0,2,seed,2025-03-13,5000000.0,2.0,0,2,1,0,1,400,B2B Software and Services,0,-1730
CozmoX AI (YC W22),4000000.0,2,3000000.0,0,2024-12-01,0,0,7,active,1.0,c_00011_00050,4000000.0,2,seed,2022-08-22,3000000.0,2.0,1,1,1,0,1,30,Real Estate and Construction,0,-2658
CopyCat,1925000.0,0,1800000.0,0,2024-12-01,0,0,2,active,1.0,c_00001_00010,1925000.0,2,seed,2025-04-02,1800000.0,3.0,0,3,1,0,0,0,B2B Software and Services,0,-1704
Agentin AI,500000.0,0,500000.0,0,2024-11-21,0,0,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,1.0,0,1,1,0,1,80,B2B Software and Services,0,-1715
HYBRD,500000.0,3,500000.0,0,2024-10-09,0,0,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-12-04,500000.0,4.0,1,3,1,0,1,265,B2B Software and Services,0,-1770
Pickle_1,6000000000.0,0,6000000000.0,0,2024-10-01,0,0,9,active,1.0,c_00001_00010,6000000000.0,2,seed,2025-06-05,6000000000.0,5.0,0,5,1,0,0,0,B2B Software and Services,0,-1579
SRE.ai,500000.0,0,500000.0,0,2024-10-01,0,0,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-12-04,500000.0,2.0,0,2,1,0,1,43,B2B Software and Services,0,-1762
Ryvn,500000.0,0,500000.0,0,2024-10-01,0,0,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-11-11,500000.0,2.0,0,2,1,1,1,43,B2B Software and Services,0,-1785
Spott,3200000.0,4,3200000.0,0,2024-09-01,0,0,4,active,2.0,c_00001_00010,3200000.0,1,seed,2025-05-28,3200000.0,3.0,0,3,1,0,0,0,B2B Software and Services,0,-1557
Astrix Health,2000000.0,0,2000000.0,0,2024-09-01,0,0,6,active,1.0,c_00001_00010,2000000.0,1,pre_seed,2024-10-10,2000000.0,2.0,0,2,1,0,0,0,B2B Software and Services,0,-1787
Alex,500000.0,0,500000.0,0,2024-09-01,0,0,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-12-04,500000.0,1.0,0,1,1,0,1,0,Unspecified,0,-1732
Devdraft,125000.0,0,125000.0,0,2024-08-26,0,0,1,active,1.0,c_00001_00010,125000.0,1,pre_seed,2024-06-17,125000.0,2.0,1,1,1,0,0,0,Financial,0,-1896
Intryc,4700000.0,6,3100000.0,0,2024-08-15,0,0,8,active,2.0,c_00001_00010,4700000.0,3,seed,2025-01-23,3100000.0,3.0,0,3,1,0,1,123,B2B Software and Services,0,-1665
Bluebook,3000000.0,4,3000000.0,0,2024-08-10,0,0,6,active,1.0,c_00001_00010,3000000.0,1,pre_seed,2025-02-13,3000000.0,3.0,0,6,1,0,0,0,Financial,0,-1639
Hey Revia,500000.0,0,500000.0,0,2024-08-01,0,0,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-09-25,500000.0,2.0,0,2,1,0,1,0,B2B Software and Services,0,-1771
Arva AI,3125000.0,5,3000000.0,0,2024-07-01,0,0,8,active,2.0,c_00001_00010,3125000.0,2,seed,2025-01-14,3000000.0,2.0,0,2,1,0,0,0,Financial,0,-1629
FirstWork,5500000.0,4,5000000.0,0,2024-07-01,0,0,10,active,2.0,c_00001_00010,5500000.0,2,seed,2025-02-27,5000000.0,2.0,0,2,1,0,1,47,B2B Software and Services,0,-1585
Cuckoo,500000.0,5,500000.0,0,2024-07-01,0,0,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-01-06,500000.0,2.0,0,2,1,0,1,84,B2B Software and Services,0,-1637
Rastro,500000.0,0,500000.0,0,2024-07-01,0,0,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-09-25,500000.0,3.0,0,3,1,0,1,44,Real Estate and Construction,0,-1740
Standard Data,500000.0,0,500000.0,0,2024-07-01,0,0,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-09-25,500000.0,2.0,0,2,1,0,0,0,B2B Software and Services,0,-1740
Weel,500000.0,0,500000.0,0,2024-07-01,0,0,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-08-21,500000.0,2.0,0,2,1,0,0,0,B2B Software and Services,0,-1775
Invoke Labs,500000.0,0,500000.0,0,2024-07-01,0,0,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-07-01,500000.0,2.0,0,2,1,0,1,30,B2B Software and Services,0,-1826
Fortress,500000.0,9,500000.0,0,2024-06-12,0,0,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-06-27,500000.0,2.0,0,2,1,0,1,30,B2B Software and Services,1,-1811
