nombre_de_la_empresa,fecha_de_fundacion,numero_de_marcas_registradas,numero_de_patentes_otorgadas,estado_operativo,categoria,antiguedad_de_la_empresa,empleados_en_linkedin,seguidores_en_linkedin,seguidores_en_facebook,seguidores_en_twitter,numero_de_articulos,numero_total_de_fundadores,numero_de_mujeres_fundadores,numero_de_hombres_fundadores,financiacion_total_por_acciones,ultima_financiacion_por_acciones,numero_de_inversiones_en_rondas_de_financiacion,numero_de_inversionistas,numero_de_inversionistas_principales,financiacion_total,numero_de_rondas_de_financiacion,tipo_de_ultima_financiacion,fecha_de_ultima_financiacion,monto_de_ultima_financiacion,años_desde_ultima_financiacion,financiacion_total_por_acciones_log,ultima_financiacion_por_acciones_log,monto_de_ultima_financiacion_log,financiacion_total_log,seguidores_en_linkedin_log,seguidores_en_facebook_log,seguidores_en_twitter_log,empleados_en_linkedin_log,años_desde_ultima_financiacion_log,cluster_kmeans
UrbanKisaan,2019-12-04,0,0,active,Software y Servicios B2B,5,68.0,12000.0,4100.0,0,28,3.0,0,3,10300000.0,2500000.0,0,17,2.0,10300000.0,4,series_a,2024-08-28,2500000.0,0.8657534246575342,16.14765455028724,14.731801689838349,14.731801689838349,16.14765455028724,9.392745258631441,8.31898612539206,0.0,4.23410650459726,0.6236649525670208,1
Mozper,2019-12-02,0,0,active,Finanzas,5,15.0,6000.0,5300.0,387,17,3.0,1,2,6114000.0,979000.0,0,10,3.0,6114000.0,4,seed,2024-09-30,979000.0,0.7753424657534247,15.626091944991948,13.794287942962585,13.794287942962585,15.626091944991948,8.699681400989514,8.575650760987806,5.961005339623274,2.772588722239781,0.5739933427697832,1
Depict,2019-12-01,0,0,active,Consumo,5,29.0,7000.0,0.0,0,6,2.0,0,2,19850000.0,17000000.0,0,15,3.0,19850000.0,3,series_a,2022-02-24,17000000.0,3.375342465753425,16.803714615475307,16.648723960844016,16.648723960844016,16.803714615475307,8.853808274977197,0.0,0.0,3.4011973816621555,1.475984794632521,1
Teleo,2019-12-01,0,0,active,Bienes Raíces y Construcción,5,57.0,4000.0,0.0,0,18,2.0,0,2,28200000.0,7000000.0,0,11,1.0,28200000.0,4,series_a,2024-11-21,7000000.0,0.6328767123287671,17.154832571369333,15.76142084987672,15.76142084987672,17.154832571369333,8.294299608857235,0.0,0.0,4.060443010546419,0.4903433134828582,1
Loop,2019-12-01,0,0,active,Salud,5,686.0,34000.0,782.0,0,0,3.0,0,3,39300000.0,25000000.0,0,21,3.0,39300000.0,4,series_b,2022-04-19,25000000.0,3.2273972602739724,17.486735102284783,17.034386422832473,17.034386422832473,17.486735102284783,10.434145214930487,6.663132695990803,0.0,6.532334292222349,1.4415864987806695,1
Rehook.ai,2019-12-01,0,0,active,Software y Servicios B2B,5,5.0,2000.0,0.0,0,20,4.0,0,4,1900000.0,1900000.0,0,3,2.0,1900000.0,1,pre_seed,2022-04-01,1900000.0,3.276712328767123,14.45736497045232,14.45736497045232,14.45736497045232,14.45736497045232,7.601402334583733,0.0,0.0,1.791759469228055,1.4531845669329406,0
Milky Way AI,2019-12-01,0,0,active,Bienes Raíces y Construcción,5,3.0,724.0,0.0,0,10,2.0,1,1,245000.0,125000.0,0,5,2.0,245000.0,3,pre_seed,2021-08-31,125000.0,3.86027397260274,12.409017571151187,11.736077016252437,11.736077016252437,12.409017571151187,6.586171654854675,0.0,0.0,1.3862943611198906,1.5810948092870334,0
Laserfocus,2019-12-01,1,0,active,Software y Servicios B2B,5,2.0,307.0,0.0,0,0,2.0,0,2,505000.0,50000.0,0,3,1.0,505000.0,3,pre_seed,2020-04-24,50000.0,5.213698630136986,13.132315688453556,10.819798284210286,10.819798284210286,13.132315688453556,5.730099782973574,0.0,0.0,1.0986122886681098,1.8267563112651513,0
HUBUC,2019-12-01,0,0,active,Finanzas,5,4.0,2000.0,0.0,392,20,2.0,0,2,10487812.0,10000000.0,0,23,4.0,10487812.0,3,seed,2022-01-14,10000000.0,3.4876712328767123,16.16572447436588,16.118095750958314,16.118095750958314,16.16572447436588,7.601402334583733,0.0,5.973809611869261,1.6094379124341003,1.5013339108305233,1
Webiny,2019-11-01,0,0,active,Software y Servicios B2B,5,13.0,858.0,0.0,0,6,2.0,0,2,3972000.0,3500000.0,0,5,3.0,3972000.0,3,seed,2021-08-18,3500000.0,3.895890410958904,15.194780555909505,15.068273812173887,15.068273812173887,15.194780555909505,6.755768921984255,0.0,0.0,2.6390573296152584,1.5883961615769364,0
Rivet,2019-11-01,0,0,active,Software y Servicios B2B,5,3.0,393.0,0.0,0,0,2.0,0,2,500000.0,500000.0,0,1,1.0,500000.0,1,pre_seed,2023-04-05,500000.0,2.265753424657534,13.122365377402328,13.122365377402328,13.122365377402328,13.122365377402328,5.976350909297934,0.0,0.0,1.3862943611198906,1.1834904940428035,0
Daedalus,2019-10-29,0,0,active,Industria,5,90.0,6000.0,0.0,41,2,1.0,0,1,41008642.0,19400000.0,0,7,3.0,41008642.0,4,series_a,2024-02-08,19400000.0,1.4191780821917808,17.529293407330403,16.780783675579947,16.780783675579947,17.529293407330403,8.699681400989514,0.0,3.7376696182833684,4.51085950651685,0.8834278470214685,1
Arintra,2019-10-12,1,0,active,Software y Servicios B2B,5,73.0,21000.0,555.0,42,1,2.0,1,1,190000.0,85000.0,0,4,4.0,190000.0,4,seed,2023-09-22,85000.0,1.8,12.154784614286667,11.350418300109132,11.350418300109132,12.154784614286667,9.952325334619427,6.320768294250582,3.7612001156935624,4.30406509320417,1.0296194171811581,0
Virtually,2019-10-02,0,0,active,Educación,5,23.0,690.0,0.0,665,2,1.0,0,1,1875000.0,1750000.0,0,6,2.0,1875000.0,2,seed,2020-09-28,1750000.0,4.7835616438356166,14.444119750719839,14.375126917328105,14.375126917328105,14.444119750719839,6.53813982376767,0.0,6.501289670540389,3.1780538303479458,1.7550196942658292,0
Bandit ML,2019-10-01,0,0,active,Software y Servicios B2B,5,2.0,166.0,0.0,0,2,3.0,0,3,1470000.0,1320000.0,0,8,1.0,1470000.0,2,pre_seed,2020-09-18,1320000.0,4.810958904109589,14.200773639026796,14.093143052138025,14.093143052138025,14.200773639026796,5.117993812416755,0.0,0.0,1.0986122886681098,1.759745600982191,0
Monto,2019-10-01,0,0,active,Finanzas,5,12.0,2000.0,789.0,0,0,2.0,1,1,125000.0,125000.0,0,5,1.0,125000.0,2,pre_seed,2021-08-31,125000.0,3.86027397260274,11.736077016252437,11.736077016252437,11.736077016252437,11.736077016252437,7.601402334583733,6.672032945461067,0.0,2.5649493574615367,1.5810948092870334,0
Oto Health,2019-09-27,0,0,active,Software y Servicios B2B,5,19.0,2000.0,0.0,691,1,2.0,0,2,3320000.0,2780000.0,0,18,1.0,3320000.0,4,seed,2022-07-14,2780000.0,2.9917808219178084,15.015475642097446,14.837961845378985,14.837961845378985,15.015475642097446,7.601402334583733,0.0,6.539585955617669,2.995732273553991,1.3842374526127135,0
Carry,2019-09-26,0,0,active,Software y Servicios B2B,5,2.0,148.0,25.0,75,4,2.0,1,1,150000.0,150000.0,0,3,2.0,150000.0,2,seed,2019-08-19,150000.0,5.895890410958904,11.918397239722838,11.918397239722838,11.918397239722838,11.918397239722838,5.003946305945459,3.258096538021482,4.330733340286331,1.0986122886681098,1.9309256415528244,0
Bego,2019-09-19,0,0,active,Consumo,5,90.0,10000.0,26000.0,0,1,1.0,0,1,14000000.0,14000000.0,0,15,2.0,14000000.0,2,seed,2021-05-06,14000000.0,4.18082191780822,16.454567959008102,16.454567959008102,16.454567959008102,16.454567959008102,9.210440366976517,10.165890277802454,0.0,4.51085950651685,1.6449637150759662,1
Pulley,2019-09-16,0,0,active,Finanzas,5,83.0,16000.0,0.0,0,19,1.0,1,0,50150000.0,40000000.0,0,14,2.0,50150000.0,3,series_b,2022-07-13,40000000.0,2.9945205479452053,17.7305290923124,17.50439003707821,17.50439003707821,17.7305290923124,9.680406499268875,0.0,0.0,4.430816798843313,1.384923558986112,1
Luminai,2019-09-12,0,0,active,Software y Servicios B2B,5,48.0,5000.0,0.0,556,3,2.0,0,2,19800000.0,16000000.0,0,23,4.0,19800000.0,4,series_a,2022-04-11,16000000.0,3.249315068493151,16.801192546169812,16.588099342704055,16.588099342704055,16.801192546169812,8.517393171418904,0.0,6.322565239927284,3.8918202981106265,1.4467578095940474,1
Sameplan,2019-09-09,0,0,active,Software y Servicios B2B,5,2.0,139.0,0.0,0,0,2.0,0,2,625000.0,500000.0,0,2,1.0,625000.0,2,seed,2020-11-03,500000.0,4.684931506849315,13.345508528717259,13.122365377402328,13.122365377402328,13.345508528717259,4.941642422609304,0.0,0.0,1.0986122886681098,1.7378190790823071,0
Farcast,2019-09-04,0,8,active,Software y Servicios B2B,5,14.0,926.0,0.0,0,2,1.0,0,1,13587000.0,8000000.0,0,17,2.0,13587000.0,3,series_a,2022-12-30,8000000.0,2.5287671232876714,16.424624084806222,15.894952224644102,15.894952224644102,16.424624084806222,6.831953565565855,0.0,0.0,2.70805020110221,1.2609485530818074,1
Benepass,2019-09-01,0,0,active,Finanzas,5,74.0,6000.0,83.0,98,21,3.0,1,2,34734996.0,20000000.0,0,16,4.0,34734996.0,4,series_b,2024-01-31,20000000.0,1.441095890410959,17.3632582957409,16.811242881518265,16.811242881518265,17.3632582957409,8.699681400989514,4.430816798843313,4.59511985013459,4.31748811353631,0.8924470738883178,1
Ochre Bio,2019-09-01,0,0,active,Salud,5,66.0,10000.0,0.0,790,51,2.0,0,2,39750000.0,30000000.0,0,20,1.0,39750000.0,4,series_a,2022-10-10,30000000.0,2.750684931506849,17.49812042422185,17.216707972959764,17.216707972959764,17.49812042422185,9.210440366976517,0.0,6.673297967767654,4.204692619390966,1.3219384717059572,1
TrueNorth,2019-09-01,0,0,active,Software y Servicios B2B,5,43.0,2000.0,0.0,57,11,2.0,0,2,62100000.0,50000000.0,0,23,4.0,62100000.0,5,series_b,2021-12-08,50000000.0,3.589041095890411,17.944256563006768,17.72753358339242,17.72753358339242,17.944256563006768,7.601402334583733,0.0,4.060443010546419,3.784189633918261,1.5236710906766753,1
Duffl,2019-09-01,1,0,active,Consumo,5,37.0,2000.0,497.0,312,1,5.0,0,5,13292000.0,12000000.0,0,20,2.0,13292000.0,3,series_a,2021-10-01,12000000.0,3.775342465753425,16.402672983689843,16.300417291085605,16.300417291085605,16.402672983689843,7.601402334583733,6.210600077024653,5.746203190540153,3.6375861597263857,1.5634656919375296,1
