company_name,categories,main_category
QFEX,"Financial Services, Lending and Investments",Finanzas
Eytrix,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Hardware, Science and Engineering, Software",Software y Servicios B2B
Minerva Intelligence,Financial Services,Finanzas
Terracotta AI,"Artificial Intelligence (AI), Hardware, Information Technology, Internet Services, Software",Software y Servicios B2B
TripleZip,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Real Estate, Science and Engineering, Software",Bienes Raíces y Construcción
Nia,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Collate,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",Software y Servicios B2B
Cedar,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",Software y Servicios B2B
HUD,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",Software y Servicios B2B
Wildcard,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",Software y Servicios B2B
Oki,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",Software y Servicios B2B
Roark,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Calltree AI,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",Software y Servicios B2B
a0.dev,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Rebolt,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Contrario,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",Software y Servicios B2B
Miyagi Labs,"Education, Media and Entertainment, Software, Video",Educación
Praxim,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",Software y Servicios B2B
Karsa,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",Finanzas
Nextbyte,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",Software y Servicios B2B
Ovlo,"Commerce and Shopping, Software",Software y Servicios B2B
TensorPool,"Information Technology, Internet Services, Software",Software y Servicios B2B
Sherpa Labs,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",Software y Servicios B2B
A1Base,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",Software y Servicios B2B
Sennu AI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",Software y Servicios B2B
Dex_1,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Lucidic AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Rally,"Financial Services, Transportation",Finanzas
Harbera,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",Software y Servicios B2B
Amby Health,"Health Care, Software",Software y Servicios B2B
Maive,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",Software y Servicios B2B
Quantstruct,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",Software y Servicios B2B
Trata,"Data and Analytics, Financial Services",Finanzas
Macadamia,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Real Estate, Science and Engineering, Software",Bienes Raíces y Construcción
Sift Dev,"Artificial Intelligence (AI), Software",Software y Servicios B2B
TamLabs,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",Finanzas
Verbiflow,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
TrainLoop,"Information Technology, Internet Services",Software y Servicios B2B
Misprint,Commerce and Shopping,Consumo
Morph,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Travel and Tourism",Software y Servicios B2B
Vocality Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",Software y Servicios B2B
Exla,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",Software y Servicios B2B
Browser Use,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Pave Robotics,"Hardware, Science and Engineering, Software",Software y Servicios B2B
CozmoX AI (YC W22),"Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Real Estate, Science and Engineering, Software",Bienes Raíces y Construcción
CopyCat,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Agentin AI,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",Software y Servicios B2B
HYBRD,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software, Sports",Software y Servicios B2B
Pickle_1,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
SRE.ai,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Ryvn,"Information Technology, Internet Services, Software",Software y Servicios B2B
Spott,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",Software y Servicios B2B
Astrix Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software, Transportation",Software y Servicios B2B
Alex,"Apps, Mobile, Platforms, Software",Software y Servicios B2B
Devdraft,"Blockchain and Cryptocurrency, Financial Services, Internet Services, Other",Finanzas
Intryc,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Software",Software y Servicios B2B
Bluebook,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Professional Services, Science and Engineering, Software",Finanzas
Hey Revia,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Arva AI,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software",Finanzas
FirstWork,"Administrative Services, Health Care, Information Technology, Professional Services, Transportation",Software y Servicios B2B
Cuckoo,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Rastro,"Commerce and Shopping, Design, Other, Real Estate",Bienes Raíces y Construcción
Standard Data,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",Software y Servicios B2B
Weel,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",Software y Servicios B2B
Invoke Labs,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Fortress,"Data and Analytics, Information Technology, Software",Software y Servicios B2B
Vera Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Other, Science and Engineering, Software",Software y Servicios B2B
Zeit AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Mindely,"Administrative Services, Artificial Intelligence (AI), Professional Services, Software",Software y Servicios B2B
RunLocal AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Saldor,"Data and Analytics, Hardware, Internet Services, Software",Software y Servicios B2B
The Forecasting Company,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",Software y Servicios B2B
Kastle,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Real Estate, Science and Engineering, Software",Bienes Raíces y Construcción
Abel Police,"Government and Military, Information Technology, Privacy and Security",Software y Servicios B2B
Gauge,"Artificial Intelligence (AI), Information Technology, Internet Services, Sales and Marketing, Software",Software y Servicios B2B
BlindPay,"Financial Services, Payments, Software",Finanzas
Simple AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Linkup,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",Software y Servicios B2B
Sorcerer,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Navigation and Mapping, Science and Engineering, Software",Industria
Lilac Labs,"Artificial Intelligence (AI), Software",Software y Servicios B2B
Decisional AI,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",Finanzas
Agentic Labs,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Thunder Compute,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software",Software y Servicios B2B
DaLMatian,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Software",Software y Servicios B2B
GoldenBasis,Financial Services,Finanzas
Synnax,"Data and Analytics, Design, Information Technology, Software",Software y Servicios B2B
Toma,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",Software y Servicios B2B
David AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Helium,"Artificial Intelligence (AI), Data and Analytics, Other, Software",Software y Servicios B2B
Plume,"Artificial Intelligence (AI), Data and Analytics, Energy, Real Estate, Science and Engineering, Software, Sustainability",Bienes Raíces y Construcción
Spur,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Privacy and Security, Sales and Marketing, Science and Engineering, Software",Software y Servicios B2B
Henry,"Artificial Intelligence (AI), Real Estate, Software",Bienes Raíces y Construcción
Starcloud,"Science and Engineering, Transportation",No Especificado
Operand,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Clara,Health Care,Salud
Alice tech,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Proception,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",Software y Servicios B2B
Arini,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",Software y Servicios B2B
Pulse_1,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Datacurve,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",Software y Servicios B2B
telli,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Sales and Marketing, Science and Engineering, Software",Software y Servicios B2B
RetailReady,"Apps, Software, Transportation",Software y Servicios B2B
AthenaHQ,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Sales and Marketing, Science and Engineering, Software",Software y Servicios B2B
Gale,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Coval,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",Software y Servicios B2B
Pipeshift,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software",Software y Servicios B2B
Octolane AI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",Software y Servicios B2B
Taxo,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",Software y Servicios B2B
Focal_1,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Science and Engineering, Software",Finanzas
Bifrost Orbital,Hardware,Software y Servicios B2B
Just Words,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Sales and Marketing, Science and Engineering, Software",Software y Servicios B2B
Artificial Societies,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software",Software y Servicios B2B
Crustdata,Software,Software y Servicios B2B
And AI,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",Software y Servicios B2B
Asha Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",Software y Servicios B2B
Giga ML,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",Software y Servicios B2B
Corgi,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",Finanzas
OpenFunnel,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",Software y Servicios B2B
Hamming AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
ClaimSorted,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Science and Engineering, Software",Finanzas
Sonnet,"Artificial Intelligence (AI), Data and Analytics, Health Care, Other, Professional Services, Sales and Marketing, Science and Engineering, Software",Software y Servicios B2B
K-Scale Labs,"Data and Analytics, Design, Hardware, Manufacturing, Science and Engineering, Software",Industria
Theseus,"Consumer Electronics, Consumer Goods, Government and Military, Hardware, Information Technology, Navigation and Mapping, Software",Software y Servicios B2B
Mastra,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
OmniAI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",Software y Servicios B2B
Ocular AI,"Apps, Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Other, Science and Engineering, Software",Software y Servicios B2B
Polymet,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",Software y Servicios B2B
SimCare AI,"Artificial Intelligence (AI), Data and Analytics, Education, Health Care, Science and Engineering, Software",Educación
Reforged Labs,"Advertising, Artificial Intelligence (AI), Data and Analytics, Gaming, Sales and Marketing, Science and Engineering, Software",Software y Servicios B2B
Axiom,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other",Finanzas
Kabilah,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",Software y Servicios B2B
Merlin AI,"Information Technology, Professional Services, Software",Software y Servicios B2B
PearAI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Parley,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",Software y Servicios B2B
Piramidal,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Software y Servicios B2B
Tabular,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",Finanzas
Ares Industries,Manufacturing,Industria
Parahelp,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",Software y Servicios B2B
Anthrogen,"Biotechnology, Science and Engineering, Sustainability",Salud
Weave Robotics,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",Industria
Tile,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software",Software y Servicios B2B
Amber AI,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",Software y Servicios B2B
AfterQuery,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",Software y Servicios B2B
marblism,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
careCycle,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Science and Engineering, Software",Finanzas
Guardian RF,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing, Privacy and Security",Industria
BiteSight,"Administrative Services, Food and Beverage, Software, Transportation",Software y Servicios B2B
Harper,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",Finanzas
Inversion Semiconductor,"Hardware, Manufacturing, Science and Engineering",Industria
FutureClinic,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",Software y Servicios B2B
Silurian AI,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",Finanzas
PAX Markets,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Financial Services, Science and Engineering, Software",Finanzas
Helpcare AI,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",Software y Servicios B2B
Optifye.ai,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software",Software y Servicios B2B
Sandra AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",Software y Servicios B2B
Variant,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
CommodityAI,"Financial Services, Lending and Investments, Other, Software, Transportation",Finanzas
Pax AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Lopus AI,"Artificial Intelligence (AI), Data and Analytics, Design, Internet Services, Media and Entertainment, Other, Sales and Marketing, Science and Engineering, Software",Software y Servicios B2B
FuseAI,"Artificial Intelligence (AI), Data and Analytics, Other, Sales and Marketing, Science and Engineering, Software",Software y Servicios B2B
Fira,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",Finanzas
Cekura AI,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",Software y Servicios B2B
Revyl,"Commerce and Shopping, Financial Services, Software",Finanzas
Vetnio,Health Care,Salud
Mentra,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",Software y Servicios B2B
