founder_name,company_name,last_funding_type,gender
Annanay Kapila,QFEX,pre_seed,female
Joshua Wharton,QFEX,pre_seed,male
Georges Casassovici,Novoflow,pre_seed,male
Nikhil Tiwari,Frekil,pre_seed,male
Shivesh Gupta,Frekil,pre_seed,male
Erdem Hacisalihoglu,Eytrix,series_a,male
Ethan Lee,Eytrix,series_a,male
Om Agarwal,Minerva Intelligence,pre_seed,female
Carlos Feliciano,Terracotta AI,seed,male
Casey Wilcox,Terracotta AI,seed,male
Grayson Pike,TripleZip,pre_seed,male
Yash Sahota,TripleZip,pre_seed,male
Lucas Irvine,Tire Swing,pre_seed,male
Paul Witten,Tire Swing,pre_seed,male
Arlan Rakhmetzhanov,Nia,pre_seed,male
Nate Smith,Collate,seed,male
Surbhi Sarna,Collate,seed,female
Isabelle Ilyia,Cedar,pre_seed,female
Jesse Li,Cedar,pre_seed,male
Jay Ram,HUD,pre_seed,male
Lorenss Martinsons,HUD,pre_seed,female
Parth Patel,HUD,pre_seed,male
Emily Bennett,Nomi,pre_seed,female
Ethan Safar,Nomi,pre_seed,male
Swan Beaujard,Nomi,pre_seed,male
Kaushik Mahorker,Wildcard,pre_seed,male
Yagnya Patel,Wildcard,pre_seed,male
Aayush Tyagi,Oki,pre_seed,male
Luofei Chen,Oki,pre_seed,male
Nand Vinchhi,Axal,seed,male
Samai Patel,Axal,seed,female
Daniel Gauci,Roark,pre_seed,male
James Zammit,Roark,pre_seed,male
Kun Qian,Calltree AI,pre_seed,male
Robertson Taylor,Calltree AI,pre_seed,male
Ayomide Omolewa,a0.dev,pre_seed,male
Seth Setse,a0.dev,pre_seed,male
Celia Manzano,Rebolt,pre_seed,female
Javier Sanchez,Rebolt,pre_seed,male
Aditya Sood,Contrario,pre_seed,male
Arya Marwaha,Contrario,pre_seed,male
Guang Cui,Miyagi Labs,pre_seed,male
Tyrone Davis III,Miyagi Labs,pre_seed,male
Frank Li,Praxim,pre_seed,male
Dale Wilson,Karsa,pre_seed,male
Shahryar Hasnani,Karsa,pre_seed,male
Jason Madeano,Nextbyte,pre_seed,male
Matt Stallone,Nextbyte,pre_seed,male
Amer Eid,Ovlo,pre_seed,male
Andrew Maalouf,Ovlo,pre_seed,male
Hlumelo Notshe,TensorPool,pre_seed,male
Joshua Martinez,TensorPool,pre_seed,male
Tycho Svoboda,TensorPool,pre_seed,male
Jeffrey Chiu,Sherpa Labs,pre_seed,male
Sherpa Labs,Sherpa Labs,pre_seed,male
Pasha Rayan,A1Base,pre_seed,male
Pennie Huang,A1Base,pre_seed,female
Sriman Gaddam,Sennu AI,pre_seed,male
Sukhjit Singh,Sennu AI,pre_seed,male
Kevin Gu,Dex,pre_seed,male
Regina Lin,Dex,pre_seed,female
Abhinav Sinha,Lucidic AI,pre_seed,male
Andy Liang,Lucidic AI,pre_seed,male
Jeremy Tian,Lucidic AI,pre_seed,male
Nick Telecki,Rally,pre_seed,male
Thiago Peres,Rally,pre_seed,male
Sophia Clark,Harbera,pre_seed,female
Veronica Nutting,Harbera,pre_seed,female
Timmy Dang,Amby Health,pre_seed,male
Yos Wagenmans,Amby Health,pre_seed,male
David Tondreau,Maive,pre_seed,male
Will Cray,Maive,pre_seed,male
Newman Hu,Quantstruct,pre_seed,male
Sarthak Srinivas,Quantstruct,pre_seed,male
Alexander Chen,Trata,pre_seed,male
Eric Cho,Trata,pre_seed,male
William Gao,Trata,pre_seed,male
Abel Van Steenweghen,Macadamia,pre_seed,male
Brecht Pierreux,Macadamia,pre_seed,male
Ishir Vaidyanath,Sift Dev,pre_seed,male
Kaushik Akula,Sift Dev,pre_seed,male
Ben Doolan,TamLabs,pre_seed,male
Joshua Doolan,TamLabs,pre_seed,male
Kashyab Ambarani,Verbiflow,pre_seed,male
Rishi Mahadevan,Verbiflow,pre_seed,male
Jackson Stokes,TrainLoop,pre_seed,male
Mason Pierce,TrainLoop,pre_seed,male
Eva Herget,Misprint,pre_seed,female
Jonathan Jenkins,Misprint,pre_seed,male
Tejas Bhakta,Morph,pre_seed,male
Brogan McPartland,Vocality Health,pre_seed,female
Vivek Jayaram,Vocality Health,pre_seed,male
Pranav Nair,Exla,pre_seed,male
Viraat Das,Exla,pre_seed,male
Nitya Arora,Peppr AI,seed,female
Sachitt Arora,Peppr AI,seed,
Areg Nzsdejan,Cardamon,seed,male
Dmytro Astakhov,Cardamon,seed,male
Gregor Zunic,Browser Use,seed,male
Magnus Müller,Browser Use,seed,male
Josh Kelly,Pave Robotics,seed,
Mason Landon Smith,Pave Robotics,seed,
Alok Kumar,CozmoX AI (YC W22),seed,
Nuha Hashem,CozmoX AI (YC W22),seed,
Abhi Balijepali,CopyCat,seed,
Graham Sabin,CopyCat,seed,
Zyad Elgohary,CopyCat,seed,
Ananth Kashyap,Valora,pre_seed,
Connor Engelsberg,Valora,pre_seed,
Sankeerth Rao Karingula,Agentin AI,pre_seed,
Akber Mehdi,ConvoStats,seed,
Kayla Lee,Trace,seed,
Saner Cakir,Trace,seed,
Ben Schleuniger,Orbital Operations,seed,
Ross Doherty,Orbital Operations,seed,
Garreth Lee,Mundo AI,seed,
Jason Liao,Mundo AI,seed,
Kenneth Wu,Mundo AI,seed,
Naijide Anwaer,Mundo AI,seed,
Ben Katz,HYBRD,pre_seed,
"Caroline ""Shoe"" Shoemaker",HYBRD,pre_seed,
Mats Terwiesch,HYBRD,pre_seed,
Matthew Ruiters,HYBRD,pre_seed,
Chris Kang,Pickle,seed,
Daniel Park,Pickle,seed,
Emmett Kim,Pickle,seed,
Sam Yu,Pickle,seed,
Sanio Jung,Pickle,seed,
Edward Aryee,SRE.ai,pre_seed,
Rajsekhar Kadiyala,SRE.ai,pre_seed,
Albert Lam,Ryvn,pre_seed,
Shardool Patel,Ryvn,pre_seed,
Anupom Syam,AXAR AI,pre_seed,
Lander Degreve,Spott,seed,
Manu Vanderveeren,Spott,seed,
Samuel Smeys,Spott,seed,
Alexandre Berkovic,Sphinx,seed,
Chrisjan Wust,Sphinx,seed,
Abhinav Swaminathan,Astrix Health,pre_seed,
Thomas Blake,Astrix Health,pre_seed,
Daniel Edrisian,Alex,pre_seed,
Boris Manda,Devdraft,pre_seed,
Salifyanji Namwila,Devdraft,pre_seed,
Alex Marantelos,Intryc,seed,
Dimitrios Ilias,Intryc,seed,
George Pastakas,Intryc,seed,
Filip Stål,Bluebook,pre_seed,
Jonathan Andersson,Bluebook,pre_seed,
Philip Andersson,Bluebook,pre_seed,
Jarren Reid,Usul,seed,
Joonghyun Lee,Usul,seed,
Oliver Gomez,Usul,seed,
Matan Goldner,Conntour,seed,
Tomer Kulla,Conntour,seed,
David (Wenbo) Zhu,Hey Revia,pre_seed,
Shaun Wei,Hey Revia,pre_seed,
Glenn Espinosa,Luthor,pre_seed,
John Espinosa,Luthor,pre_seed,
Oli Wales,Arva AI,seed,
Rhim Shah,Arva AI,seed,
Shubham Choudhary,FirstWork,seed,
Vardhan Kapoor,FirstWork,seed,
Gunwoo Kim,Cuckoo,pre_seed,
