company_name;link_company;linkedin;linkedin_employees;linkedin_followers;facebook;facebook_followers;selected
BlaBla Edtech;https://www.crunchbase.com/organization/blabla;https://www.linkedin.com/company/30605367;;;https://www.facebook.com/blabla.video;;0
UrbanKisaan;https://www.crunchbase.com/organization/urbankisaan;https://www.linkedin.com/company/urbankisaan/;68;12000;https://www.facebook.com/beanurbankisaan;4100;1
Mozper;https://www.crunchbase.com/organization/mozper;https://www.linkedin.com/company/mozper/;15;6000;https://www.facebook.com/mozper.br;5300;1
Explo;https://www.crunchbase.com/organization/explo;https://www.linkedin.com/company/explo-co/;36;3000;;0;1
Depict;https://www.crunchbase.com/organization/depict-ai;https://www.linkedin.com/company/depict-ai/;29;7000;;0;1
Teleo;https://www.crunchbase.com/organization/teleo;https://www.linkedin.com/company/teleo-ai;57;4000;;0;1
Loop;https://www.crunchbase.com/organization/loop-health-edbc;https://www.linkedin.com/company/loop-health/;686;34000;https://www.facebook.com/loophealthindia/;782;1
Rehook.ai;https://www.crunchbase.com/organization/rehook-ai;https://www.linkedin.com/company/rehookai;5;2000;;0;1
Milky Way AI;https://www.crunchbase.com/organization/milky-way-ai;https://www.linkedin.com/company/milkywayai;3;724;;0;1
Laserfocus;https://www.crunchbase.com/organization/laserfocus;https://www.linkedin.com/company/laserfocus;2;307;;0;1
HUBUC;https://www.crunchbase.com/organization/hubuc;https://www.linkedin.com/company/hubuc;4;2000;;0;1
Webiny;https://www.crunchbase.com/organization/webiny;https://www.linkedin.com/company/webiny/about/;13;858;;0;1
Rivet;https://www.crunchbase.com/organization/rivet-d09f;https://www.linkedin.com/company/rivet-gg/;3;393;;0;1
Daedalus;https://www.crunchbase.com/organization/daedalus-6017;https://www.linkedin.com/company/daedalus-de/;90;6000;;0;1
Arintra;https://www.crunchbase.com/organization/arintra;https://www.linkedin.com/company/arintra;73;21000;https://www.facebook.com/ArintraHealth;555;1
Virtually;https://www.crunchbase.com/organization/virtually;https://www.linkedin.com/company/tryvirtually/;23;690;;0;1
Bandit ML;https://www.crunchbase.com/organization/gradient-decision-making;https://www.linkedin.com/company/gradient-decision-making/;2;166;;0;1
Monto;https://www.crunchbase.com/organization/monto;https://www.linkedin.com/company/monto-cajero-inteligente;12;2000;https://www.facebook.com/monto.mx;789;1
Oto Health;https://www.crunchbase.com/organization/oto-4786;https://www.linkedin.com/company/otohealth/;19;2000;https://www.facebook.com/ototinnitus;0;1
Carry;https://www.crunchbase.com/organization/carry-4a91;https://www.linkedin.com/company/carrytravel/;2;148;https://www.facebook.com/carrytravel/;25;1
Bego;https://www.crunchbase.com/organization/bego-5fd1;https://www.linkedin.com/company/begoapp/;90;10000;https://www.facebook.com/begoapp/;26000;1
Pulley;https://www.crunchbase.com/organization/pulley;https://www.linkedin.com/company/pulley-cap-table;83;16000;;0;1
Luminai;https://www.crunchbase.com/organization/digital-brain;https://www.linkedin.com/company/digitalbrain1/;48;5000;;0;1
Sameplan;https://www.crunchbase.com/organization/sameplan;https://www.linkedin.com/company/sameplan;2;139;;0;1
Farcast;https://www.crunchbase.com/organization/utvate;https://www.linkedin.com/company/utvate/;14;926;;0;1
Benepass;https://www.crunchbase.com/organization/benepass;https://www.linkedin.com/company/benepass;74;6000;https://www.facebook.com/getbenepass;83;1
Ochre Bio;https://www.crunchbase.com/organization/ochre-bio;https://www.linkedin.com/company/ochre-bio;66;10000;;0;1
TrueNorth;https://www.crunchbase.com/organization/truenorth;https://www.linkedin.com/company/honestfreight/;43;2000;https://www.facebook.com/truenorthfleet/;0;1
Duffl;https://www.crunchbase.com/organization/duffl;https://www.linkedin.com/company/dufflstores;37;2000;https://www.facebook.com/dufflstores/;497;1
Jitsu;https://www.crunchbase.com/organization/jitsu;https://www.linkedin.com/company/jitsucom;3;474;;0;1
Sakneen;https://www.crunchbase.com/organization/sakneen;https://www.linkedin.com/company/sakneen;17;4000;https://www.facebook.com/sakneen/;15000;1
Phonic;https://www.crunchbase.com/organization/phonic;https://www.linkedin.com/company/phonic-research;33;802;https://www.facebook.com/phonicresearch;305;1
Relate;https://www.crunchbase.com/organization/pixelic;https://www.linkedin.com/company/relate.so;;;;0;0
Volopay;https://www.crunchbase.com/organization/volopay;https://www.linkedin.com/company/volopay/;147;47000;https://www.facebook.com/volopay/;416;1
Zumo Labs;https://www.crunchbase.com/organization/zumo-labs;https://www.linkedin.com/company/zumolabs/;2;221;;0;1
BuildStream;https://www.crunchbase.com/organization/buildstream;https://linkedin.com/company/buildstream1;13;5000;;0;1
Facio;https://www.crunchbase.com/organization/facio-b68a;https://www.linkedin.com/company/faciobeneficios/;55;6000;;0;1
BukuWarung;https://www.crunchbase.com/organization/bukuwarung;https://www.linkedin.com/company/bukuwarung;232;20000;https://www.facebook.com/bukuwarung;23000;1
Hent;https://www.crunchbase.com/organization/hent;https://www.linkedin.com/company/hentcredito/;9;2000;https://www.facebook.com/hent.com.br;54;1
Cherry Recommends;https://www.crunchbase.com/organization/four2;https://www.linkedin.com/company/cherryrecommends;;;;0;0
Nextmv;https://www.crunchbase.com/organization/nextmv;https://www.linkedin.com/company/nextmv;17;16000;;0;1
GuruHotel;https://www.crunchbase.com/organization/guruhotel;https://www.linkedin.com/company/guruhotel/;14;7000;https://www.facebook.com/guruhotelmx/;0;1
onetool;https://www.crunchbase.com/organization/onetool;https://www.linkedin.com/company/onetool/about/;4;427;https://www.facebook.com/Onetool-448559075912384;0;1
Listle;https://www.crunchbase.com/organization/listle;https://www.linkedin.com/company/listle/;3;249;;0;1
Hutsy;https://www.crunchbase.com/organization/hutsy;https://www.linkedin.com/company/hutsyhomes/;2;74;https://www.facebook.com/hutsyhomes;0;1
Fitia;https://www.crunchbase.com/organization/fitia;https://www.linkedin.com/company/fitia/;27;6000;;0;1
GIMO;https://www.crunchbase.com/organization/gimo;https://www.linkedin.com/company/gimojsc/;50;3000;https://www.facebook.com/gimo.vn/;9500;1
Revel;https://www.crunchbase.com/organization/revel-05d0;https://www.linkedin.com/company/revelgatherings/;4;801;https://www.facebook.com/revelgatherings;3600;1
