company_name,link_company,equity_funding_total,num_articles,last_equity_funding_total,num_investments_funding_rounds,founded_on,ipqwery_num_trademark_registered,ipqwery_num_patent_granted,num_investors,operating_status,num_lead_investors,num_employees_enum,funding_total,num_funding_rounds,last_funding_type,last_funding_at,last_funding_total,num_founders,linkedin,linkedin_employees,linkedin_followers,facebook,facebook_followers,num_female_founders,num_male_founders,has_linkedin,has_facebook,has_twitter,twitter_followers,category,company_age
BlaBla Edtech,https://www.crunchbase.com/organization/blabla,3130612.0,1,1500000.0,0,2019-12-12,0,0,7,active,4.0,c_00001_00010,3130612.0,4,seed,2021-01-14,1500000.0,1.0,https://www.linkedin.com/company/30605367,,,https://www.facebook.com/blabla.video,,0,1,1,1,0,0,Educación,5
UrbanKisaan,https://www.crunchbase.com/organization/urbankisaan,10300000.0,28,2500000.0,0,2019-12-04,0,0,17,active,2.0,c_00051_00100,10300000.0,4,series_a,2024-08-28,2500000.0,3.0,https://www.linkedin.com/company/urbankisaan/,,,https://www.facebook.com/beanurbankisaan,,0,3,1,1,1,0,Software y Servicios B2B,5
Mozper,https://www.crunchbase.com/organization/mozper,6114000.0,17,979000.0,0,2019-12-02,0,0,10,active,3.0,c_00011_00050,6114000.0,4,seed,2024-09-30,979000.0,3.0,https://www.linkedin.com/company/mozper/,,,https://www.facebook.com/mozper.br,,1,2,1,1,1,387,Finanzas,5
Explo,https://www.crunchbase.com/organization/explo,14450000.0,12,12000000.0,0,2019-12-01,395,974,10,active,1.0,c_00011_00050,14450000.0,3,series_a,2022-08-16,12000000.0,4.0,https://www.linkedin.com/company/explo-co/,,,,0,0,4,1,0,1,579,Software y Servicios B2B,5
Depict,https://www.crunchbase.com/organization/depict-ai,19850000.0,6,17000000.0,0,2019-12-01,0,0,15,active,3.0,c_00011_00050,19850000.0,3,series_a,2022-02-24,17000000.0,2.0,https://www.linkedin.com/company/depict-ai/,,,,0,0,2,1,0,0,0,Consumo,5
Teleo,https://www.crunchbase.com/organization/teleo,28200000.0,18,7000000.0,0,2019-12-01,0,0,11,active,1.0,c_00011_00050,28200000.0,4,series_a,2024-11-21,7000000.0,2.0,https://www.linkedin.com/company/teleo-ai,,,,0,0,2,1,0,0,0,Bienes Raíces y Construcción,5
Loop,https://www.crunchbase.com/organization/loop-health-edbc,39300000.0,0,25000000.0,0,2019-12-01,0,0,21,active,3.0,c_00251_00500,39300000.0,4,series_b,2022-04-19,25000000.0,3.0,https://www.linkedin.com/company/loop-health/,,,https://www.facebook.com/loophealthindia/,,0,3,1,1,1,0,Salud,5
Rehook.ai,https://www.crunchbase.com/organization/rehook-ai,1900000.0,20,1900000.0,0,2019-12-01,0,0,3,active,2.0,c_00011_00050,1900000.0,1,pre_seed,2022-04-01,1900000.0,4.0,https://www.linkedin.com/company/rehookai,,,,0,0,4,1,0,0,0,Software y Servicios B2B,5
Milky Way AI,https://www.crunchbase.com/organization/milky-way-ai,245000.0,10,125000.0,0,2019-12-01,0,0,5,active,2.0,c_00001_00010,245000.0,3,pre_seed,2021-08-31,125000.0,2.0,https://www.linkedin.com/company/milkywayai,,,,0,1,1,1,0,0,0,Bienes Raíces y Construcción,5
Laserfocus,https://www.crunchbase.com/organization/laserfocus,505000.0,0,50000.0,0,2019-12-01,1,0,3,active,1.0,c_00001_00010,505000.0,3,pre_seed,2020-04-24,50000.0,2.0,https://www.linkedin.com/company/laserfocus,,,,0,0,2,1,0,0,0,Software y Servicios B2B,5
