company_name,link_company,linkedin,linkedin_employees,linkedin_followers,facebook,facebook_followers
BlaBla Edtech,https://www.crunchbase.com/organization/blabla,https://www.linkedin.com/company/30605367,,,https://www.facebook.com/blabla.video,
UrbanKisaan,https://www.crunchbase.com/organization/urbankisaan,https://www.linkedin.com/company/urbankisaan/,,,https://www.facebook.com/beanurbankisaan,
Mozper,https://www.crunchbase.com/organization/mozper,https://www.linkedin.com/company/mozper/,,,https://www.facebook.com/mozper.br,
Explo,https://www.crunchbase.com/organization/explo,https://www.linkedin.com/company/explo-co/,,,,0
Depict,https://www.crunchbase.com/organization/depict-ai,https://www.linkedin.com/company/depict-ai/,,,,0
Teleo,https://www.crunchbase.com/organization/teleo,https://www.linkedin.com/company/teleo-ai,,,,0
Loop,https://www.crunchbase.com/organization/loop-health-edbc,https://www.linkedin.com/company/loop-health/,,,https://www.facebook.com/loophealthindia/,
Rehook.ai,https://www.crunchbase.com/organization/rehook-ai,https://www.linkedin.com/company/rehookai,,,,0
Milky Way AI,https://www.crunchbase.com/organization/milky-way-ai,https://www.linkedin.com/company/milkywayai,,,,0
Laserfocus,https://www.crunchbase.com/organization/laserfocus,https://www.linkedin.com/company/laserfocus,,,,0
HUBUC,https://www.crunchbase.com/organization/hubuc,https://www.linkedin.com/company/hubuc,,,,0
Webiny,https://www.crunchbase.com/organization/webiny,https://www.linkedin.com/company/webiny/about/,,,,0
Rivet,https://www.crunchbase.com/organization/rivet-d09f,https://www.linkedin.com/company/rivet-gg/,,,,0
Daedalus,https://www.crunchbase.com/organization/daedalus-6017,https://www.linkedin.com/company/daedalus-de/,,,,0
Arintra,https://www.crunchbase.com/organization/arintra,https://www.linkedin.com/company/arintra,,,https://www.facebook.com/ArintraHealth,
Virtually,https://www.crunchbase.com/organization/virtually,https://www.linkedin.com/company/tryvirtually/,,,,0
Bandit ML,https://www.crunchbase.com/organization/gradient-decision-making,https://www.linkedin.com/company/gradient-decision-making/,,,,0
Monto,https://www.crunchbase.com/organization/monto,https://www.linkedin.com/company/monto-cajero-inteligente,,,https://www.facebook.com/monto.mx,
Oto Health,https://www.crunchbase.com/organization/oto-4786,https://www.linkedin.com/company/otohealth/,,,https://www.facebook.com/ototinnitus,
Carry,https://www.crunchbase.com/organization/carry-4a91,https://www.linkedin.com/company/carrytravel/,,,https://www.facebook.com/carrytravel/,
Bego,https://www.crunchbase.com/organization/bego-5fd1,https://www.linkedin.com/company/begoapp/,,,https://www.facebook.com/begoapp/,
Pulley,https://www.crunchbase.com/organization/pulley,https://www.linkedin.com/company/pulley-cap-table,,,,0
Luminai,https://www.crunchbase.com/organization/digital-brain,https://www.linkedin.com/company/digitalbrain1/,,,,0
Sameplan,https://www.crunchbase.com/organization/sameplan,https://www.linkedin.com/company/sameplan,,,,0
Farcast,https://www.crunchbase.com/organization/utvate,https://www.linkedin.com/company/utvate/,,,,0
Benepass,https://www.crunchbase.com/organization/benepass,https://www.linkedin.com/company/benepass,,,https://www.facebook.com/getbenepass,
Ochre Bio,https://www.crunchbase.com/organization/ochre-bio,https://www.linkedin.com/company/ochre-bio,,,,0
TrueNorth,https://www.crunchbase.com/organization/truenorth,https://www.linkedin.com/company/honestfreight/,,,https://www.facebook.com/truenorthfleet/,
Duffl,https://www.crunchbase.com/organization/duffl,https://www.linkedin.com/company/dufflstores,,,https://www.facebook.com/dufflstores/,
Jitsu,https://www.crunchbase.com/organization/jitsu,https://www.linkedin.com/company/jitsucom,,,,0
Sakneen,https://www.crunchbase.com/organization/sakneen,https://www.linkedin.com/company/sakneen,,,https://www.facebook.com/sakneen/,
Phonic,https://www.crunchbase.com/organization/phonic,https://www.linkedin.com/company/phonic-research,,,https://www.facebook.com/phonicresearch,
Relate,https://www.crunchbase.com/organization/pixelic,https://www.linkedin.com/company/relate.so,,,,0
Volopay,https://www.crunchbase.com/organization/volopay,https://www.linkedin.com/company/volopay/,,,https://www.facebook.com/volopay/,
Zumo Labs,https://www.crunchbase.com/organization/zumo-labs,https://www.linkedin.com/company/zumolabs/,,,,0
BuildStream,https://www.crunchbase.com/organization/buildstream,https://linkedin.com/company/buildstream1,,,,0
Facio,https://www.crunchbase.com/organization/facio-b68a,https://www.linkedin.com/company/faciobeneficios/,,,,0
BukuWarung,https://www.crunchbase.com/organization/bukuwarung,https://www.linkedin.com/company/bukuwarung,,,https://www.facebook.com/bukuwarung,
Hent,https://www.crunchbase.com/organization/hent,https://www.linkedin.com/company/hentcredito/,,,https://www.facebook.com/hent.com.br,
Cherry Recommends,https://www.crunchbase.com/organization/four2,https://www.linkedin.com/company/cherryrecommends,,,,0
Nextmv,https://www.crunchbase.com/organization/nextmv,https://www.linkedin.com/company/nextmv,,,,0
GuruHotel,https://www.crunchbase.com/organization/guruhotel,https://www.linkedin.com/company/guruhotel/,,,https://www.facebook.com/guruhotelmx/,
onetool,https://www.crunchbase.com/organization/onetool,https://www.linkedin.com/company/onetool/about/,,,https://www.facebook.com/Onetool-448559075912384,
Listle,https://www.crunchbase.com/organization/listle,https://www.linkedin.com/company/listle/,,,,0
Hutsy,https://www.crunchbase.com/organization/hutsy,https://www.linkedin.com/company/hutsyhomes/,,,https://www.facebook.com/hutsyhomes,
Fitia,https://www.crunchbase.com/organization/fitia,https://www.linkedin.com/company/fitia/,,,,0
GIMO,https://www.crunchbase.com/organization/gimo,https://www.linkedin.com/company/gimojsc/,,,https://www.facebook.com/gimo.vn/,
Revel,https://www.crunchbase.com/organization/revel-05d0,https://www.linkedin.com/company/revelgatherings/,,,https://www.facebook.com/revelgatherings,
Jenfi,https://www.crunchbase.com/organization/jenfi,https://www.linkedin.com/company/jenfi,,,https://www.facebook.com/jenficapital,
FamPay,https://www.crunchbase.com/organization/fampay,https://in.linkedin.com/company/fampay/,,,https://www.facebook.com/fampay.in/,
Greywing,https://www.crunchbase.com/organization/greywing-28da,https://www.linkedin.com/company/greywing/,,,,0
Disclo,https://www.crunchbase.com/organization/disclo,https://www.linkedin.com/company/disclo/,,,https://www.facebook.com/disclotime,
PAYZE,https://www.crunchbase.com/organization/payze,https://www.linkedin.com/company/paymentsmadeeazy,,,https://www.facebook.com/payzegeo,
Segmed,https://www.crunchbase.com/organization/segmed,https://www.linkedin.com/company/segmed-ai,,,,0
