nombre_de_la_empresa,fecha_de_fundacion,numero_de_marcas_registradas,numero_de_patentes_otorgadas,estado_operativo,categoria,antiguedad_de_la_empresa,empleados_en_linkedin,seguidores_en_linkedin,seguidores_en_facebook,seguidores_en_twitter,numero_de_articulos,numero_total_de_fundadores,numero_de_mujeres_fundadores,numero_de_hombres_fundadores,financiacion_total_por_acciones,ultima_financiacion_por_acciones,numero_de_inversiones_en_rondas_de_financiacion,numero_de_inversionistas,numero_de_inversionistas_principales,financiacion_total,numero_de_rondas_de_financiacion,tipo_de_ultima_financiacion,fecha_de_ultima_financiacion,monto_de_ultima_financiacion,años_desde_ultima_financiacion
UrbanKisaan,2019-12-04,0,0,active,Software y Servicios B2B,5,68.0,12000.0,4100.0,0,28,3.0,0,3,10300000.0,2500000.0,0,17,2.0,10300000.0,4,series_a,2024-08-28,2500000.0,0.8657534246575342
Mozper,2019-12-02,0,0,active,Finanzas,5,15.0,6000.0,5300.0,387,17,3.0,1,2,6114000.0,979000.0,0,10,3.0,6114000.0,4,seed,2024-09-30,979000.0,0.7753424657534247
Depict,2019-12-01,0,0,active,Consumo,5,29.0,7000.0,0.0,0,6,2.0,0,2,19850000.0,17000000.0,0,15,3.0,19850000.0,3,series_a,2022-02-24,17000000.0,3.3753424657534246
Teleo,2019-12-01,0,0,active,Bienes Raíces y Construcción,5,57.0,4000.0,0.0,0,18,2.0,0,2,28200000.0,7000000.0,0,11,1.0,28200000.0,4,series_a,2024-11-21,7000000.0,0.6328767123287671
Loop,2019-12-01,0,0,active,Salud,5,686.0,34000.0,782.0,0,0,3.0,0,3,39300000.0,25000000.0,0,21,3.0,39300000.0,4,series_b,2022-04-19,25000000.0,3.2273972602739724
Rehook.ai,2019-12-01,0,0,active,Software y Servicios B2B,5,5.0,2000.0,0.0,0,20,4.0,0,4,1900000.0,1900000.0,0,3,2.0,1900000.0,1,pre_seed,2022-04-01,1900000.0,3.276712328767123
Milky Way AI,2019-12-01,0,0,active,Bienes Raíces y Construcción,5,3.0,724.0,0.0,0,10,2.0,1,1,245000.0,125000.0,0,5,2.0,245000.0,3,pre_seed,2021-08-31,125000.0,3.8602739726027395
Laserfocus,2019-12-01,1,0,active,Software y Servicios B2B,5,2.0,307.0,0.0,0,0,2.0,0,2,505000.0,50000.0,0,3,1.0,505000.0,3,pre_seed,2020-04-24,50000.0,5.213698630136986
HUBUC,2019-12-01,0,0,active,Finanzas,5,4.0,2000.0,0.0,392,20,2.0,0,2,10487812.0,10000000.0,0,23,4.0,10487812.0,3,seed,2022-01-14,10000000.0,3.4876712328767123
Webiny,2019-11-01,0,0,active,Software y Servicios B2B,5,13.0,858.0,0.0,0,6,2.0,0,2,3972000.0,3500000.0,0,5,3.0,3972000.0,3,seed,2021-08-18,3500000.0,3.8958904109589043
Rivet,2019-11-01,0,0,active,Software y Servicios B2B,5,3.0,393.0,0.0,0,0,2.0,0,2,500000.0,500000.0,0,1,1.0,500000.0,1,pre_seed,2023-04-05,500000.0,2.265753424657534
Daedalus,2019-10-29,0,0,active,Industria,5,90.0,6000.0,0.0,41,2,1.0,0,1,41008642.0,19400000.0,0,7,3.0,41008642.0,4,series_a,2024-02-08,19400000.0,1.4191780821917808
Arintra,2019-10-12,1,0,active,Software y Servicios B2B,5,73.0,21000.0,555.0,42,1,2.0,1,1,190000.0,85000.0,0,4,4.0,190000.0,4,seed,2023-09-22,85000.0,1.8
Virtually,2019-10-02,0,0,active,Educación,5,23.0,690.0,0.0,665,2,1.0,0,1,1875000.0,1750000.0,0,6,2.0,1875000.0,2,seed,2020-09-28,1750000.0,4.7835616438356166
Bandit ML,2019-10-01,0,0,active,Software y Servicios B2B,5,2.0,166.0,0.0,0,2,3.0,0,3,1470000.0,1320000.0,0,8,1.0,1470000.0,2,pre_seed,2020-09-18,1320000.0,4.810958904109589
Monto,2019-10-01,0,0,active,Finanzas,5,12.0,2000.0,789.0,0,0,2.0,1,1,125000.0,125000.0,0,5,1.0,125000.0,2,pre_seed,2021-08-31,125000.0,3.8602739726027395
Oto Health,2019-09-27,0,0,active,Software y Servicios B2B,5,19.0,2000.0,0.0,691,1,2.0,0,2,3320000.0,2780000.0,0,18,1.0,3320000.0,4,seed,2022-07-14,2780000.0,2.9917808219178084
Carry,2019-09-26,0,0,active,Software y Servicios B2B,5,2.0,148.0,25.0,75,4,2.0,1,1,150000.0,150000.0,0,3,2.0,150000.0,2,seed,2019-08-19,150000.0,5.895890410958904
